When was the date of your most recent flight?,Progress,Duration (in seconds),Finished,Response ID,Where was your originating airport?,Where was your destination airport?,"Overall, were you satisfied with the pre flight experience at your originating airport?","Overall, were you satisfied with the pre flight experience at your destination airport?",Did your flight leave on time?,Did you find the seats comfortable?,Are you currently one of our rewards members?,Please enter your rewards number,Were the seats comfortable?,What type of travel were you doing?,What gender do you identify as?,What is your age?
02/05/2021 00:00:00,100,0,True,R_3gWh7OkTSUioiCp,Dallas,Orlando,Unsatisfied,Unsatisfied,Probably yes,Probably yes,No,23971,Moderately comfortable,Personal,Male,33
21/02/2021 00:00:00,100,0,True,R_9MG05egBuyjr8QB,Seattle,Chicago,Unsatisfied,Satisfied,Probably yes,Probably not,No,69971,Slightly comfortable,Business,Non-binary / third gender,
08/01/2021 00:00:00,100,0,True,R_4H0nAHTVa6cWQZL,Los Angeles,Los Angeles,Satisfied,Satisfied,Probably yes,Definitely yes,No,52392,Extremely uncomfortable,Personal,Prefer not to say,41
08/04/2021 00:00:00,100,0,True,R_2mJJi7JvSTcNVbf,Los Angeles,Seattle,Unsatisfied,Satisfied,Definitely not,Definitely yes,No,88944,Slightly uncomfortable,Business,Female,34
27/07/2021 00:00:00,100,0,True,R_d5aAq9jWwUN4T4N,Seattle,Denver,Satisfied,Unsatisfied,Definitely yes,Probably not,Yes,42064,Extremely uncomfortable,Personal,Female,20
13/06/2021 00:00:00,100,0,True,R_37wUBs6hmLaFO2V,Saint Louis,Orlando,Unsatisfied,Unsatisfied,Probably yes,Probably not,No,88709,Extremely comfortable,Personal,Non-binary / third gender,37
06/11/2021 00:00:00,100,0,True,R_ekPO4GM0yTTvsCV,Chicago,Dallas,Satisfied,Unsatisfied,Probably not,Might or might not,No,25342,Neither comfortable nor uncomfortable,Personal,Non-binary / third gender,27
21/02/2021 00:00:00,100,0,True,R_bj89XiaWvzbgcpD,Denver,Orlando,Unsatisfied,Satisfied,Definitely not,Probably not,No,74800,Slightly comfortable,Business,Prefer not to say,41
26/07/2021 00:00:00,100,0,True,R_1Yo3IpHZU9jw0e1,New York,Orlando,Unsatisfied,Satisfied,Might or might not,Definitely not,No,69596,Moderately uncomfortable,Business,Female,40
14/01/2021 00:00:00,100,0,True,R_79ySrO48G7bkGrj,New York,New York,Unsatisfied,Satisfied,Probably not,Probably not,Yes,60574,Slightly uncomfortable,Business,Non-binary / third gender,19
20/11/2021 00:00:00,100,0,True,R_1RFcumr5OYmYFGB,Orlando,Seattle,Satisfied,Unsatisfied,Definitely yes,Might or might not,Yes,54170,Moderately uncomfortable,Business,Prefer not to say,27
31/03/2021 00:00:00,100,0,True,R_diITGTOxvXo6tyl,Los Angeles,New York,Satisfied,Unsatisfied,Probably not,Probably not,No,93473,Moderately uncomfortable,Business,Non-binary / third gender,27
09/09/2021 00:00:00,100,0,True,R_9Nzf3vQgzjbajsx,Dallas,Los Angeles,Unsatisfied,Unsatisfied,Definitely yes,Definitely not,No,25586,Neither comfortable nor uncomfortable,Personal,Prefer not to say,36
16/07/2021 00:00:00,100,0,True,R_etx4Oz6ViUCqwol,Chicago,Seattle,Unsatisfied,Satisfied,Might or might not,Might or might not,Yes,45917,Neither comfortable nor uncomfortable,Business,Prefer not to say,50
02/10/2021 00:00:00,100,0,True,R_aYwBt9j0EsTtJpH,New York,Saint Louis,Satisfied,Satisfied,Definitely yes,Definitely not,Yes,28697,Extremely uncomfortable,Business,Male,54
06/10/2021 00:00:00,100,0,True,R_bxCZTEhVuUdWeYR,Denver,Orlando,Satisfied,Unsatisfied,Probably not,Probably yes,Yes,93067,Moderately comfortable,Personal,Non-binary / third gender,
30/12/2021 00:00:00,100,0,True,R_56yckhy06eAlRIx,Dallas,Saint Louis,Satisfied,Satisfied,Definitely not,Probably not,Yes,63820,Extremely uncomfortable,Personal,Non-binary / third gender,48
30/05/2021 00:00:00,100,0,True,R_2fe8H0NQ3lr4jsN,Orlando,Seattle,Satisfied,Unsatisfied,Probably not,Definitely yes,Yes,77955,Moderately uncomfortable,Personal,Non-binary / third gender,48
24/08/2021 00:00:00,100,0,True,R_eGbxGeBSv5o119H,Seattle,Orlando,Satisfied,Satisfied,Definitely yes,Definitely yes,Yes,44584,Moderately comfortable,Business,Female,28
02/12/2021 00:00:00,100,0,True,R_43ef9JNoEkqMaG1,Los Angeles,Dallas,Unsatisfied,Satisfied,Definitely yes,Definitely yes,Yes,43217,Slightly uncomfortable,Business,Female,49
08/04/2021 00:00:00,100,0,True,R_2lcJqm7ouJXpTGB,Dallas,Los Angeles,Satisfied,Satisfied,Probably yes,Definitely not,Yes,57872,Extremely comfortable,Business,Prefer not to say,46
17/11/2021 00:00:00,100,0,True,R_8pNCcXgj6eI94Sp,Dallas,Chicago,Satisfied,Unsatisfied,Probably not,Probably not,Yes,81269,Slightly uncomfortable,Business,Prefer not to say,32
29/07/2021 00:00:00,100,0,True,R_4SgDpE02huqd9NX,Chicago,Denver,Unsatisfied,Unsatisfied,Might or might not,Probably yes,No,35071,Slightly comfortable,Personal,Non-binary / third gender,27
27/11/2021 00:00:00,100,0,True,R_6m0LUw3zAflrqa9,Los Angeles,Seattle,Satisfied,Satisfied,Probably not,Definitely not,Yes,31938,Moderately comfortable,Business,Prefer not to say,34
06/09/2021 00:00:00,100,0,True,R_0cg8CQbvAc5g7Jz,Dallas,Chicago,Unsatisfied,Satisfied,Might or might not,Definitely not,No,36490,Extremely uncomfortable,Business,Male,19
06/11/2021 00:00:00,100,0,True,R_0omW6eMBGgeKqS9,Denver,Denver,Unsatisfied,Satisfied,Probably yes,Probably not,No,69879,Neither comfortable nor uncomfortable,Business,Female,38
29/06/2021 00:00:00,100,0,True,R_abGVZbm1XfdbuYt,New York,Dallas,Satisfied,Satisfied,Probably yes,Definitely yes,Yes,11666,Extremely uncomfortable,Business,Male,37
30/07/2021 00:00:00,100,0,True,R_5utSv5ckVmsXDRr,New York,Orlando,Unsatisfied,Unsatisfied,Probably not,Probably yes,Yes,79333,Extremely comfortable,Business,Prefer not to say,34
01/02/2021 00:00:00,100,0,True,R_ebz0B7NAxRl3PhP,New York,Saint Louis,Unsatisfied,Unsatisfied,Probably yes,Definitely yes,No,82819,Moderately uncomfortable,Personal,Female,31
05/10/2021 00:00:00,100,0,True,R_5dIUNssyFTB7bhP,Orlando,Chicago,Satisfied,Unsatisfied,Probably yes,Might or might not,No,86327,Extremely uncomfortable,Personal,Female,25
30/12/2021 00:00:00,100,0,True,R_bmhRkfidIY2KFnf,Los Angeles,Dallas,Satisfied,Satisfied,Probably yes,Might or might not,Yes,16174,Extremely uncomfortable,Personal,Male,27
04/07/2021 00:00:00,100,0,True,R_9TXIA8EDkzyE7MV,New York,Denver,Unsatisfied,Unsatisfied,Probably yes,Might or might not,No,45364,Slightly uncomfortable,Business,Non-binary / third gender,22
23/01/2021 00:00:00,100,0,True,R_8tVIPVH9RTI0NDv,Los Angeles,Dallas,Unsatisfied,Satisfied,Probably not,Probably not,Yes,57551,Extremely uncomfortable,Business,Prefer not to say,23
16/06/2021 00:00:00,100,0,True,R_5ouqoymWxmEupDf,Dallas,Orlando,Unsatisfied,Unsatisfied,Probably yes,Definitely yes,No,49388,Moderately comfortable,Personal,Non-binary / third gender,24
16/08/2021 00:00:00,100,0,True,R_6EDOmMUO5oSdmmh,Orlando,Dallas,Satisfied,Unsatisfied,Probably not,Probably not,Yes,26198,Extremely uncomfortable,Business,Prefer not to say,22
07/08/2021 00:00:00,100,0,True,R_0B5SPRmx5kzUnZz,New York,Saint Louis,Unsatisfied,Unsatisfied,Definitely not,Definitely yes,Yes,80038,Moderately uncomfortable,Business,Male,33
13/03/2021 00:00:00,100,0,True,R_cImi6nn0IOdp7kV,Los Angeles,Dallas,Unsatisfied,Unsatisfied,Definitely not,Definitely yes,Yes,84634,Moderately comfortable,Business,Male,47
20/06/2021 00:00:00,100,0,True,R_6FFRDRdX9Zh4Rp3,Chicago,Seattle,Unsatisfied,Unsatisfied,Definitely yes,Definitely yes,No,97635,Moderately comfortable,Personal,Non-binary / third gender,22
13/11/2021 00:00:00,100,0,True,R_9oaJ7KKpVAv2Fhj,Orlando,Chicago,Unsatisfied,Unsatisfied,Probably not,Definitely not,No,96111,Slightly uncomfortable,Business,Prefer not to say,39
04/09/2021 00:00:00,100,0,True,R_2s14bhBnUsAhnbT,Los Angeles,Saint Louis,Satisfied,Satisfied,Might or might not,Definitely not,No,99584,Slightly uncomfortable,Business,Non-binary / third gender,31
03/10/2021 00:00:00,100,0,True,R_9pr9kdI3uWHTaFD,Orlando,Orlando,Satisfied,Satisfied,Probably not,Definitely yes,Yes,52084,Neither comfortable nor uncomfortable,Personal,Female,24
19/01/2021 00:00:00,100,0,True,R_5hdUfyETj4qYTzv,New York,Saint Louis,Satisfied,Satisfied,Definitely yes,Definitely yes,Yes,62839,Neither comfortable nor uncomfortable,Business,Prefer not to say,27
25/02/2021 00:00:00,100,0,True,R_6nZHUSsnkdFoSXz,Saint Louis,Dallas,Satisfied,Unsatisfied,Might or might not,Probably not,No,12295,Extremely comfortable,Business,Non-binary / third gender,
14/07/2021 00:00:00,100,0,True,R_cv7eft0gcrLPoYl,Chicago,Dallas,Satisfied,Satisfied,Might or might not,Might or might not,No,13421,Slightly uncomfortable,Personal,Non-binary / third gender,20
07/11/2021 00:00:00,100,0,True,R_4HKKffmt0vkWe6V,Saint Louis,Seattle,Satisfied,Unsatisfied,Probably yes,Probably not,Yes,77473,Extremely uncomfortable,Personal,Female,24
25/12/2021 00:00:00,100,0,True,R_86vC1bSnzOJQtdH,Orlando,Denver,Unsatisfied,Satisfied,Definitely yes,Probably not,No,16067,Extremely comfortable,Business,Female,32
12/03/2021 00:00:00,100,0,True,R_82NYDVfg89IDAoJ,Seattle,Dallas,Unsatisfied,Unsatisfied,Probably not,Probably yes,Yes,25333,Moderately uncomfortable,Business,Female,53
29/04/2021 00:00:00,100,0,True,R_5gu4elNDndz40lL,New York,Orlando,Satisfied,Satisfied,Definitely not,Might or might not,Yes,47000,Slightly uncomfortable,Business,Non-binary / third gender,33
04/03/2021 00:00:00,100,0,True,R_bwlAbREUpEh837D,Chicago,Chicago,Satisfied,Satisfied,Definitely not,Definitely not,Yes,59956,Extremely uncomfortable,Personal,Prefer not to say,53
22/06/2021 00:00:00,100,0,True,R_831206lpLtnnSUR,Chicago,Saint Louis,Unsatisfied,Unsatisfied,Probably not,Probably not,No,21452,Neither comfortable nor uncomfortable,Personal,Male,26
10/01/2021 00:00:00,100,0,True,R_3n6HBrdYtIIJJOd,Dallas,Denver,Satisfied,Unsatisfied,Might or might not,Definitely yes,Yes,44631,Slightly uncomfortable,Business,Non-binary / third gender,53
23/10/2021 00:00:00,100,0,True,R_0PMO4aFfXmpgULz,Orlando,Dallas,Satisfied,Satisfied,Definitely yes,Might or might not,No,58782,Slightly comfortable,Personal,Prefer not to say,30
23/02/2021 00:00:00,100,0,True,R_bwM76aH1EgQnKpD,Dallas,Denver,Satisfied,Satisfied,Probably yes,Might or might not,Yes,49135,Slightly uncomfortable,Personal,Male,27
21/07/2021 00:00:00,100,0,True,R_82Cn55mg2prR7Tv,Seattle,New York,Satisfied,Unsatisfied,Definitely not,Probably yes,Yes,34167,Slightly uncomfortable,Business,Prefer not to say,21
20/07/2021 00:00:00,100,0,True,R_0iiu79fOLdTtaBL,Orlando,Saint Louis,Unsatisfied,Satisfied,Definitely not,Definitely yes,No,69295,Extremely comfortable,Personal,Non-binary / third gender,32
25/09/2021 00:00:00,100,0,True,R_41uLpJcSHjxNNOJ,Dallas,Seattle,Satisfied,Satisfied,Definitely yes,Definitely yes,No,16682,Moderately comfortable,Business,Non-binary / third gender,44
13/08/2021 00:00:00,100,0,True,R_88hFy5aLbuJ9PO5,Orlando,Los Angeles,Unsatisfied,Satisfied,Probably not,Definitely yes,Yes,19975,Slightly comfortable,Business,Non-binary / third gender,31
20/06/2021 00:00:00,100,0,True,R_55sYYroGy9ihSxD,New York,Seattle,Satisfied,Unsatisfied,Probably yes,Definitely not,No,97550,Slightly uncomfortable,Personal,Female,30
22/04/2021 00:00:00,100,0,True,R_3Q1P2Dk7iA2N4Z7,Los Angeles,Dallas,Unsatisfied,Satisfied,Probably not,Definitely not,Yes,50206,Slightly uncomfortable,Personal,Female,40
05/01/2021 00:00:00,100,0,True,R_0xE1dNrMNTcxxXf,Saint Louis,Denver,Unsatisfied,Satisfied,Definitely not,Definitely yes,Yes,32115,Slightly uncomfortable,Business,Male,53
19/11/2021 00:00:00,100,0,True,R_1LYqINO1efXce1f,Dallas,New York,Satisfied,Unsatisfied,Definitely not,Probably not,No,29066,Extremely uncomfortable,Personal,Non-binary / third gender,20
03/11/2021 00:00:00,100,0,True,R_6KgRhZpJwaaXD9z,Dallas,Dallas,Unsatisfied,Satisfied,Definitely yes,Might or might not,No,27914,Slightly comfortable,Personal,Prefer not to say,28
18/09/2021 00:00:00,100,0,True,R_4OP3FQ4y3myFzzn,Los Angeles,Saint Louis,Unsatisfied,Unsatisfied,Probably yes,Probably yes,No,11415,Extremely comfortable,Personal,Female,22
18/11/2021 00:00:00,100,0,True,R_9HbZbxyrYee4FZb,Saint Louis,Los Angeles,Unsatisfied,Unsatisfied,Definitely yes,Might or might not,No,62715,Moderately comfortable,Personal,Prefer not to say,24
06/01/2021 00:00:00,100,0,True,R_eKc6DFh0NRPoQJL,Saint Louis,Denver,Satisfied,Satisfied,Might or might not,Definitely yes,Yes,68185,Slightly uncomfortable,Business,Non-binary / third gender,41
15/09/2021 00:00:00,100,0,True,R_eKAOmosDApQpxvn,New York,Denver,Unsatisfied,Unsatisfied,Might or might not,Might or might not,Yes,95778,Slightly comfortable,Business,Prefer not to say,30
11/01/2021 00:00:00,100,0,True,R_3CB9wQgoliHBDV3,Orlando,Saint Louis,Satisfied,Satisfied,Probably yes,Probably yes,Yes,20045,Moderately uncomfortable,Personal,Male,20
27/06/2021 00:00:00,100,0,True,R_cwkpP5CnHf6CVPD,Los Angeles,Los Angeles,Satisfied,Unsatisfied,Definitely yes,Probably not,No,60433,Moderately uncomfortable,Personal,Male,48
29/12/2021 00:00:00,100,0,True,R_8uztoPrPr1F6XY1,Chicago,Orlando,Unsatisfied,Satisfied,Might or might not,Definitely not,Yes,92128,Extremely uncomfortable,Business,Non-binary / third gender,51
20/04/2021 00:00:00,100,0,True,R_0iiRVRLwo4v9PoN,Los Angeles,Saint Louis,Satisfied,Unsatisfied,Might or might not,Definitely not,No,42484,Extremely comfortable,Personal,Prefer not to say,43
12/05/2021 00:00:00,100,0,True,R_4MXbHgN2PGDI35z,Orlando,Saint Louis,Satisfied,Satisfied,Might or might not,Might or might not,Yes,48567,Extremely uncomfortable,Business,Male,33
16/02/2021 00:00:00,100,0,True,R_74FEvdSRbQ4t6jH,Saint Louis,Orlando,Satisfied,Satisfied,Might or might not,Might or might not,Yes,71722,Extremely uncomfortable,Business,Non-binary / third gender,34
14/11/2021 00:00:00,100,0,True,R_5tdhAfP3FmvmOEZ,Denver,Dallas,Satisfied,Satisfied,Probably yes,Might or might not,Yes,63184,Neither comfortable nor uncomfortable,Personal,Female,37
25/05/2021 00:00:00,100,0,True,R_e3XuoroDVw51peB,Denver,Chicago,Unsatisfied,Unsatisfied,Might or might not,Might or might not,No,59039,Extremely comfortable,Personal,Male,42
24/02/2021 00:00:00,100,0,True,R_6WlqUsXy3mFxE7r,New York,New York,Unsatisfied,Unsatisfied,Definitely not,Might or might not,No,77137,Slightly uncomfortable,Business,Non-binary / third gender,49
26/06/2021 00:00:00,100,0,True,R_2nRGUi2E7GP0hoN,New York,Saint Louis,Unsatisfied,Satisfied,Probably yes,Definitely yes,No,54276,Extremely comfortable,Personal,Prefer not to say,38
03/06/2021 00:00:00,100,0,True,R_9BtUcIHv735dFv7,Seattle,Seattle,Satisfied,Unsatisfied,Probably yes,Probably not,No,30487,Neither comfortable nor uncomfortable,Personal,Male,35
